region;code_de_la_region;nom_du_departement;code_du_departement;geo_point_2d;geo_shape
Nouvelle-Aquitaine;75;Lot-et-Garonne;47;44.03374596739464, 0.3637663366737614;"{""coordinates"": [[0.363804399066484, 44.03374295242048, 59.99804944265634], [0.363728274281038, 44.033748982368785, 63.57644944451749]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.25471196447411, -0.31457892942187593;"{""coordinates"": [[-0.331110539457497, 43.26457370371185, 195.8109508473426], [-0.298047319386255, 43.244850225236384, 214.18395088613033]], ""type"": ""LineString""}"
Occitanie;76;Hautes-Pyrénées;65;43.087762762420354, 0.3724771609043369;"{""coordinates"": [[0.37249305728283, 43.08778766562068, 648.129951174371], [0.372461264525844, 43.08773785922003, 648.159951175563]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.791032962491116, 1.3064371920970852;"{""coordinates"": [[1.290637560506839, 43.79252269877152, 103.55694988463074], [1.322236823687332, 43.78954322621072, 105.60994988959283]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.35459255722405, 1.2516446289118965;"{""coordinates"": [[1.251594536074892, 43.35470529839709, 195.30045068450272], [1.251694721748901, 43.35447981605102, 198.0009506866336]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.86666266381298, -1.1514313995890952;"{""coordinates"": [[-1.151566358571348, 43.8667572576013, 66.63594974949956], [-1.151296440606842, 43.86656807002466, 67.32294974848628]], ""type"": ""LineString""}"
Occitanie;76;Gers;32;43.7238014604969, 0.11910271399245788;"{""coordinates"": [[0.119463051768689, 43.72417312493561, 163.02535001002252], [0.118742376216226, 43.72342979605819, 168.1939500104636]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.91272816213142, -0.9023053111756568;"{""coordinates"": [[-0.902328384553615, 43.912539827873104, 63.75964966416359], [-0.902282237797699, 43.91291649638973, 66.43194966483861]], ""type"": ""LineString""}"
Occitanie;76;Hautes-Pyrénées;65;43.01581667379474, 0.6095765024532;"{""coordinates"": [[0.608713128094563, 43.01488065021083, 450.6359513057396], [0.610439876811838, 43.01675269737865, 448.46995130367577]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.429231748088434, -0.6590024887427743;"{""coordinates"": [[-0.6583581868214, 43.42982818210239, 85.71895054727793], [-0.659646790664149, 43.42863531407448, 86.38595055043697]], ""type"": ""LineString""}"
Occitanie;76;Ariège;9;43.00994956125125, 1.613431759304206;"{""coordinates"": [[1.634684412384409, 43.04060945516689, 346.96595125831664], [1.607843958518478, 43.018903004564955, 350.41595129761845], [1.607514795405472, 42.97190282585776, 383.87195138446987]], ""type"": ""LineString""}"
