geo_shape;objectid;geo_point_2d;nom_region;departement
"{""coordinates"": [[4.106825218723557, 50.026179807256305], [4.106836027202127, 50.026179916248196], [4.137892989374366, 50.02966284899568], [4.142718470447466, 50.02739833393235], [4.142739812705844, 50.027398081051594]], ""type"": ""LineString""}";5421;50.02800925405481, 4.124983733007655;Hauts-de-France;Nord
"{""coordinates"": [[4.097330551304845, 49.88689229332157], [4.0951691193066, 49.89967648713611], [4.102798858214268, 49.91441442498872]], ""type"": ""LineString""}";5427;49.90100985513272, 4.09778478956084;Hauts-de-France;Aisne
"{""coordinates"": [[3.87078367154092, 50.255904532019024], [3.870756355683826, 50.25595722892276], [3.859725236341496, 50.2660453348883], [3.855664836910167, 50.269539061482305], [3.839812498445286, 50.283230662550714]], ""type"": ""LineString""}";5432;50.26967472450491, 3.8553959344169315;Hauts-de-France;Nord
"{""coordinates"": [[3.876478295004213, 50.237336109558], [3.876700651588243, 50.237164250523186], [3.877630680950551, 50.23637027976549], [3.878055842408226, 50.2362524855073], [3.878255934635435, 50.23621422282268], [3.886201209375707, 50.236957578382], [3.894200328336109, 50.23919672960051], [3.900907241551121, 50.238728231870944]], ""type"": ""LineString""}";5436;50.237721939145835, 3.888537227353743;Hauts-de-France;Nord
"{""coordinates"": [[3.967812230530731, 50.24398352412301], [3.963408829677435, 50.24346228393199], [3.956537003356849, 50.243243583092706], [3.950628285972071, 50.24661580378381], [3.942121481380667, 50.245349253166346]], ""type"": ""LineString""}";5438;50.24466253088131, 3.954903242961886;Hauts-de-France;Nord
"{""coordinates"": [[2.768787062674143, 49.810548807173255], [2.770645026075361, 49.812735403654095], [2.776007259643804, 49.820614472695596], [2.778454159029196, 49.824424516397386], [2.78461916109734, 49.83262822903235], [2.798255545654255, 49.8498104302699], [2.798736038194163, 49.850441156577254], [2.800917490419149, 49.85327293592333], [2.807785379192849, 49.861956156979616], [2.812963343664586, 49.87671645282621]], ""type"": ""LineString""}";5445;49.84287365325509, 2.7923587862516577;Hauts-de-France;Somme
"{""coordinates"": [[3.799842875822503, 49.99937770642728], [3.787735275968987, 50.006385003475174]], ""type"": ""LineString""}";5450;50.002881354951235, 3.793789075895745;Hauts-de-France;Aisne
"{""coordinates"": [[3.694254654244975, 50.00640627298394], [3.690018161777738, 50.009321267028575]], ""type"": ""LineString""}";5452;50.00786377000626, 3.692136408011356;Hauts-de-France;Aisne
"{""coordinates"": [[3.758378696827474, 49.75092798983249], [3.761826193871924, 49.761112937508244], [3.774140508280702, 49.77882793924388], [3.777705733306734, 49.783189576705055], [3.784410513027812, 49.79073391302606], [3.793036852811047, 49.802095131352864]], ""type"": ""LineString""}";5461;49.77736637443574, 3.7742064258356045;Hauts-de-France;Aisne
"{""coordinates"": [[3.793036852811047, 49.802095131352864], [3.793506552323914, 49.7995043826007]], ""type"": ""LineString""}";5462;49.800799756976794, 3.793271702567481;Hauts-de-France;Aisne
"{""coordinates"": [[6.891127814164254, 47.52252672348696], [6.891232231865761, 47.52264331692648], [6.891644881848491, 47.5227885280041], [6.901264729698986, 47.526941761370324], [6.913067249055149, 47.53637106450689], [6.927423356611365, 47.541085528197726], [6.947760714954938, 47.5440718364807], [6.946542968083774, 47.54660620374016], [6.951168036636922, 47.54490003787978], [6.955899348025577, 47.55114237182789]], ""type"": ""LineString""}";5465;47.53799888828868, 6.925024367582673;Bourgogne-Franche-Comté;Territoire de Belfort
"{""coordinates"": [[4.010548113008009, 48.261475245455586], [4.010556169135648, 48.26147651735015], [4.015307778628816, 48.26169307556189]], ""type"": ""LineString""}";5466;48.26158461002203, 4.012927900232835;Grand Est;Aube
"{""coordinates"": [[-4.023972518498824, 48.23880427353234], [-4.024460583119396, 48.24643297812974]], ""type"": ""LineString""}";5479;48.24261862583104, -4.0242165508091094;Bretagne;Finistère
"{""coordinates"": [[-1.860705207921001, 48.06435296894322], [-1.860972853893584, 48.064358662387896]], ""type"": ""LineString""}";5485;48.06435581566556, -1.8608390309072922;Bretagne;Ille-et-Vilaine
"{""coordinates"": [[3.483163808517399, 48.49730445342359], [3.483144440125042, 48.49730753688761]], ""type"": ""LineString""}";5490;48.4973059951556, 3.4831541243212194;Grand Est;Aube
"{""coordinates"": [[3.174578533972965, 45.63916339860279], [3.174337704077817, 45.63936445348338]], ""type"": ""LineString""}";5502;45.639263926043085, 3.174458119025391;Auvergne-Rhône-Alpes;Puy-de-Dôme
